OBJECTID,NameplateC,OperatingM,OperatingY,Shape__Area,Shape__Length
587,0,5,2016,91642.4564819336,1486.11612991765
588,0,5,2016,54060.6204910278,1065.2205805631
589,1.8,6,2012,314637.139907837,3399.15872944662
590,0,8,2016,56934.6599655151,982.040120233974
591,0,8,2016,114865.72063446,1419.64537090882
592,0,5,2015,200965.504371643,2113.85880211234
593,0,5,2015,310928.811462402,2768.56706095918
594,0,9,2017,194030.503227234,1732.73312183469
595,4,10,2021,67356.4760437012,1249.47136645759
596,4,10,2021,169423.272033691,1911.0999526949
597,4,10,2021,29474.9264678955,927.446776520207
598,4,10,2021,58692.7995376587,990.254547714556
599,4,10,2021,109180.602325439,1863.64665932748
600,0,10,2021,223872.564598083,2178.66319401598
601,1.9,9,2018,334879.096374512,3585.69948421241
602,0,10,2020,595158.933914185,3568.88188480527
603,4,3,2021,1216171.51810455,5272.59314167682
604,4,3,2021,1160381.62724304,5719.58449940585
605,4.5,4,2021,1220991.41113281,5502.66960420426
606,0,4,2017,206279.802230835,1969.29115017891
607,0,5,2016,20506.8653564453,627.281320061944
608,0,5,2016,153864.963195801,2157.52303463557
609,0,6,2019,746078.960418701,3722.30377431775
610,0,8,2013,358559.665725708,2689.12422830804
611,5,5,2017,72565.5425415039,1005.28608365831
612,5,5,2017,31420.7192687988,845.426231044333
613,5,5,2017,426235.874862671,5375.28815300035
614,2.6,1,2017,91475.7625579834,1984.17289782123
615,2.6,1,2017,86364.4864044189,1282.16976673377
616,2.6,1,2017,26056.4370422363,908.992233125673
617,2.6,1,2017,41638.169128418,1513.67884592673
618,2.6,1,2017,1712.47796630859,195.983396886153
619,2.6,1,2017,24496.6667022705,680.440979226677
620,2.6,1,2017,5171.19136047363,387.772978151673
621,2.6,1,2017,27517.1933441162,791.294346381832
622,2.6,1,2017,47654.5117034912,1254.21164250749
623,2.6,1,2017,43489.4566497803,1243.58127696016
624,0,1,2017,23186.5511932373,924.575823714075
625,0,1,2017,10674.7334594727,503.210703557468
626,0,1,2017,16003.4812316895,695.735777576308
627,0,1,2017,40705.7103271484,1036.86997966075
628,0.7,7,2021,180352.09147644,2170.2294281047
629,0,4,2012,123744.438369751,2154.93079558666
630,4,4,2012,560262.063812256,3038.85787356182
631,1.3,12,2013,98026.4876098633,2533.50049211479
632,1.3,12,2013,17336.9779205322,845.195131977385
633,1.3,12,2013,54812.3110961914,1846.23549610667
634,0,12,2013,12726.5328521729,497.362531243977
635,0,12,2013,15918.7546539307,492.615669478261
636,1.3,12,2013,37923.6566467285,1224.50944860168
637,0,12,2010,84944.8255157471,1799.8297492646
638,1.5,12,2013,240523.028274536,2288.499296142
639,0,5,2023,15616.7932434082,585.256367878837
640,0,5,2023,423134.544219971,3102.40578996818
641,4.5,1,2017,456721.195602417,4081.77116182675
642,4.5,1,2017,217696.985153198,2118.94448089278
643,0,5,2023,156756.618331909,2375.60970919681
644,1,1,2014,222393.868896484,2382.46249469361
645,0,6,2022,737569.526062012,3887.61936594969
646,0,10,2021,156918.942001343,2801.56075879465
647,0,10,2021,83761.7231826782,1382.80173654457
648,0,10,2021,221272.211380005,2285.31669927075
649,4.2,7,2022,345184.52456665,3084.8988484659
650,4.2,7,2022,252839.272506714,2281.85726992885
651,0,4,2017,163898.383132935,1969.20030087711
652,0,4,2017,196724.413566589,1936.3771223929
653,0,4,2017,182279.216506958,1824.37605742762
654,2.6,12,2021,649924.4895401,3444.72462412809
655,0.9,9,2021,180632.751976013,1860.20776802416
656,2.6,12,2017,130626.19430542,1529.06462781252
657,0,4,2017,315352.417045593,2520.69104878545
658,0,4,2017,190582.778869629,2439.29005645049
659,0,9,2017,242188.843955994,2136.49485404876
660,2,4,2019,176690.947135925,1977.06677761587
661,2,4,2019,78403.2049713135,1253.55875774593
662,2,4,2019,52651.2117462158,1167.79895797083
663,0,5,2023,687198.410888672,4215.21154415246
664,0,5,2023,194023.733032227,2514.12671857121
665,2.3,6,2016,138852.133239746,1515.47384155763
666,4.5,12,2019,185487.527679443,2058.82856821747
